complaint_id,predicted_city_1,confidence_1,predicted_city_2,confidence_2,predicted_city_3,confidence_3,hotspot_lat,hotspot_lon,hotspot_confidence
CMP00117,Mumbai,20.0,Hyderabad,20.0,Bengaluru,13.33,19.075477;19.107942;19.089677;19.070558;19.096635,72.880633;72.862911;72.872645;72.905169;72.898038,6.27;1.28;0.75;5.36;6.34
CMP00120,Patna,19.23,Jaipur,15.38,Delhi,13.46,25.588119;25.587324;25.641908;25.549299;25.624223,85.158949;85.122273;85.164231;85.126431;85.107683,0.40;8.48;2.56;6.38;1.41
CMP00121,Lucknow,13.85,Patna,13.85,Mumbai,10.77,26.848595;26.871078;26.826063;26.857023;26.826144,80.929271;80.942524;80.938165;80.932107;80.952292,3.65;4.10;4.07;0.25;1.78
CMP00125,Bengaluru,16.07,Ahmedabad,12.5,Lucknow,12.5,12.959824;12.935398;12.953639;12.979373,77.600401;77.559413;77.589264;77.631484,0.46;6.27;0.39;8.95
CMP00126,Ahmedabad,16.67,Bengaluru,15.0,Jaipur,13.33,23.014942;23.005441;23.054278,72.571286;72.570195;72.590672,3.03;12.99;0.65
CMP00128,Bengaluru,14.29,Jaipur,14.29,Mumbai,12.5,12.96302;12.973341;12.983441;13.028494,77.606042;77.619188;77.595959;77.604756,2.52;9.44;1.35;0.98
CMP00130,Ahmedabad,14.52,Kolkata,12.9,Jaipur,12.9,23.077245;23.001507;22.969403;23.003522;23.031044,72.551193;72.556415;72.558256;72.57516;72.618304,2.89;1.47;2.40;2.13;5.63
CMP00131,Delhi,16.36,Kolkata,16.36,Jaipur,14.55,28.580894;28.643386;28.571072;28.611037,77.254786;77.197271;77.242847;77.239945,1.79;8.13;5.58;0.86
CMP00135,Ahmedabad,16.67,Bengaluru,15.0,Jaipur,13.33,23.028985;23.060406;23.014674,72.578959;72.579211;72.531422,9.78;5.83;1.06
CMP00140,Patna,17.39,Mumbai,13.04,Pune,13.04,25.61189;25.555747;25.602408,85.109484;85.169542;85.118888,0.58;12.91;3.90
CMP00144,Lucknow,19.3,Kolkata,12.28,Jaipur,12.28,26.872364;26.82119;26.883926;26.835859;26.803428,80.950352;80.939473;80.968146;80.937642;80.982308,2.50;5.04;2.50;6.51;2.75
CMP00145,Lucknow,13.85,Patna,13.85,Mumbai,10.77,26.834532;26.871239;26.846332;26.839665,80.979561;80.954468;80.96611;80.904583,1.96;7.98;1.46;2.45
CMP00146,Delhi,16.36,Kolkata,16.36,Jaipur,14.55,28.610827;28.586369;28.632584;28.665277,77.207117;77.221192;77.201733;77.201016,10.68;1.85;1.09;2.74
CMP00148,Patna,19.23,Jaipur,15.38,Delhi,13.46,25.573713;25.558248;25.595537;25.591551,85.123624;85.132812;85.08053;85.138653,5.78;6.52;1.27;5.66
CMP00154,Lucknow,19.3,Kolkata,12.28,Jaipur,12.28,26.843892;26.862054;26.833437,80.940676;80.965138;80.931805,11.57;7.12;0.61
CMP00156,Patna,17.39,Mumbai,13.04,Pune,13.04,25.578437;25.615385;25.594816,85.082797;85.112902;85.161816,3.85;5.52;8.02
CMP00157,Lucknow,19.3,Kolkata,12.28,Jaipur,12.28,26.826437;26.842027;26.820168;26.827369,80.923586;80.945005;80.929841;80.93743,6.58;0.98;5.14;6.60
CMP00158,Patna,17.39,Mumbai,13.04,Pune,13.04,25.593901;25.596034;25.632178,85.174599;85.116068;85.151073,9.05;3.69;4.65
CMP00159,Mumbai,20.0,Hyderabad,20.0,Bengaluru,13.33,19.110893;19.028156;19.076692,72.844959;72.901232;72.880884,10.92;2.64;6.44
CMP00163,Mumbai,20.0,Hyderabad,20.0,Bengaluru,13.33,19.066452;19.055285;19.013431;19.085756,72.867364;72.864071;72.894816;72.875577,6.55;2.60;4.02;6.83
CMP00164,Bengaluru,14.29,Jaipur,14.29,Mumbai,12.5,12.984123;12.974083;12.929865,77.570161;77.613385;77.608184,7.16;6.06;1.07
CMP00166,Bengaluru,14.29,Jaipur,14.29,Mumbai,12.5,12.930911;12.978093;12.987565;12.969948,77.595802;77.571992;77.553062;77.564325,8.00;1.13;2.13;3.03
CMP00168,Bengaluru,16.07,Ahmedabad,12.5,Lucknow,12.5,12.996757;12.992492;12.984845;12.909809,77.580178;77.566357;77.630639;77.574678,8.93;0.62;4.82;1.70
CMP00172,Bengaluru,14.29,Jaipur,14.29,Mumbai,12.5,12.975843;12.983801;12.968604;12.956737;12.963638,77.596835;77.634103;77.597443;77.609308;77.586624,0.73;4.54;3.04;5.74;0.24
CMP00173,Patna,19.23,Jaipur,15.38,Delhi,13.46,25.587345;25.587847;25.57719;25.62039,85.16129;85.170126;85.081842;85.116511,8.17;5.31;3.59;2.16
CMP00175,Mumbai,20.0,Hyderabad,20.0,Bengaluru,13.33,19.096735;19.08189;19.039035,72.822422;72.896972;72.906294,4.28;1.62;14.10
CMP00177,Mumbai,20.0,Hyderabad,20.0,Bengaluru,13.33,19.063815;19.048715;19.113744;19.067312;19.108174,72.887796;72.857275;72.887751;72.898428;72.866584,0.53;5.54;3.39;2.67;7.87
CMP00178,Lucknow,13.85,Patna,13.85,Mumbai,10.77,26.881348;26.805895;26.82024;26.850965,80.971415;80.953224;80.933377;80.967089,0.76;1.21;5.96;5.92
CMP00181,Bengaluru,14.29,Jaipur,14.29,Mumbai,12.5,13.032744;12.974335;12.983625;12.951838;13.018651,77.597831;77.612744;77.600197;77.606387;77.628236,1.43;1.73;8.20;0.46;2.47
CMP00185,Mumbai,20.0,Hyderabad,20.0,Bengaluru,13.33,19.073744;19.139467;19.061298,72.897227;72.890799;72.874365,2.39;5.79;11.82
CMP00187,Patna,19.23,Jaipur,15.38,Delhi,13.46,25.615406;25.588353;25.625853;25.556531,85.079582;85.153304;85.117138;85.131082,3.21;12.79;0.04;3.19
CMP00189,Ahmedabad,14.52,Kolkata,12.9,Jaipur,12.9,22.955078;23.016727;23.068724,72.570043;72.588805;72.599564,9.22;2.32;2.98
CMP00194,Lucknow,19.3,Kolkata,12.28,Jaipur,12.28,26.826722;26.846717;26.829761;26.827136;26.843829,80.942087;80.950156;80.949932;80.963057;80.950076,0.05;4.47;0.80;13.31;0.67
CMP00195,Lucknow,19.3,Kolkata,12.28,Jaipur,12.28,26.881415;26.794741;26.817262;26.853946,80.879716;80.915184;80.951293;80.939829,2.37;0.42;7.17;9.34
CMP00198,Ahmedabad,14.52,Kolkata,12.9,Jaipur,12.9,23.045892;23.040542;23.009387;22.991947;23.016492,72.603189;72.543174;72.583634;72.589225;72.562029,8.06;1.29;0.87;2.85;1.45
CMP00201,Ahmedabad,14.52,Kolkata,12.9,Jaipur,12.9,23.006069;22.980756;22.991462;23.055394;23.041409,72.547966;72.615517;72.550992;72.527572;72.536074,2.82;4.26;3.90;1.11;2.43
CMP00207,Patna,19.23,Jaipur,15.38,Delhi,13.46,25.618396;25.585707;25.647981;25.578529,85.136826;85.171251;85.154406;85.127146,4.50;6.86;4.89;2.98
CMP00211,Patna,19.23,Jaipur,15.38,Delhi,13.46,25.598996;25.604306;25.619829;25.600501;25.635737,85.113141;85.095035;85.149415;85.162167;85.162959,4.80;11.09;1.99;0.50;0.85
CMP00215,Lucknow,13.85,Patna,13.85,Mumbai,10.77,26.85629;26.838;26.810841,80.886957;80.951164;80.960726,0.84;10.66;2.35
CMP00216,Delhi,16.36,Kolkata,16.36,Jaipur,14.55,28.590165;28.626233;28.592441;28.599509;28.677902,77.27481;77.213621;77.226508;77.21205;77.206599,2.79;1.93;2.48;7.17;1.99
CMP00218,Ahmedabad,16.67,Bengaluru,15.0,Jaipur,13.33,23.026996;23.071876;22.983551,72.563029;72.570218;72.56139,3.40;12.32;0.95
CMP00220,Delhi,16.36,Kolkata,16.36,Jaipur,14.55,28.629445;28.595722;28.612039,77.169744;77.202812;77.224517,6.21;5.84;4.31
CMP00222,Ahmedabad,16.67,Bengaluru,15.0,Jaipur,13.33,23.054657;23.011156;22.984336;23.042962;23.033666,72.597955;72.587224;72.569952;72.574746;72.566068,0.57;2.17;5.72;3.65;4.56
CMP00223,Ahmedabad,14.52,Kolkata,12.9,Jaipur,12.9,23.023208;23.045957;23.024903,72.572144;72.558499;72.559843,7.27;5.93;1.32
CMP00224,Patna,19.23,Jaipur,15.38,Delhi,13.46,25.625494;25.589428;25.630274;25.619896,85.115235;85.126607;85.142514;85.100461,3.03;1.49;0.93;13.78
CMP00230,Ahmedabad,16.67,Bengaluru,15.0,Jaipur,13.33,23.040335;23.053079;23.009754,72.572575;72.554314;72.509285,10.66;4.70;1.31
CMP00231,Ahmedabad,16.67,Bengaluru,15.0,Jaipur,13.33,23.011362;23.061989;23.011995,72.607735;72.558328;72.564355,2.29;4.79;9.59
CMP00234,Bengaluru,16.07,Ahmedabad,12.5,Lucknow,12.5,12.923258;12.944836;12.967457,77.564415;77.611666;77.57396,6.24;4.82;5.01
CMP00239,Bengaluru,16.07,Ahmedabad,12.5,Lucknow,12.5,13.000778;12.932351;12.958662;12.985484,77.635128;77.596449;77.579627;77.579028,5.15;7.06;1.54;2.32
CMP00240,Ahmedabad,16.67,Bengaluru,15.0,Jaipur,13.33,23.013165;23.042398;23.03109;23.00487,72.542061;72.597613;72.561986;72.553809,1.17;0.16;9.47;5.87
CMP00241,Delhi,16.36,Kolkata,16.36,Jaipur,14.55,28.604837;28.627487;28.592636;28.570186,77.223595;77.23609;77.211618;77.177566,4.79;5.59;5.39;0.59
CMP00242,Ahmedabad,14.52,Kolkata,12.9,Jaipur,12.9,23.00956;23.022089;23.085673;23.010264;23.039547,72.576995;72.60111;72.558128;72.597504;72.617568,1.68;7.16;3.82;0.47;1.39
CMP00244,Bengaluru,16.07,Ahmedabad,12.5,Lucknow,12.5,12.992112;12.998267;13.006154;12.967422,77.607282;77.623832;77.610818;77.598268,0.98;6.66;5.04;3.39
CMP00245,Mumbai,20.0,Hyderabad,20.0,Bengaluru,13.33,19.086456;19.070357;19.096444,72.88771;72.877785;72.840465,4.20;14.00;1.80
CMP00247,Delhi,16.36,Kolkata,16.36,Jaipur,14.55,28.651278;28.620565;28.627351;28.644125,77.214341;77.198966;77.210199;77.172963,10.36;2.60;0.78;2.62
CMP00249,Ahmedabad,14.52,Kolkata,12.9,Jaipur,12.9,23.017841;23.013426;22.977251;23.010497,72.561283;72.575766;72.595525;72.574595,5.80;0.23;5.97;2.52
CMP00251,Patna,17.39,Mumbai,13.04,Pune,13.04,25.580127;25.633238;25.58022,85.14703;85.135956;85.184629,3.90;6.90;6.59
CMP00255,Ahmedabad,14.52,Kolkata,12.9,Jaipur,12.9,23.038716;23.050546;23.01694;23.019635;22.991819,72.596083;72.604164;72.542726;72.587232;72.612903,0.62;11.32;1.07;1.16;0.35
CMP00257,Bengaluru,14.29,Jaipur,14.29,Mumbai,12.5,12.953828;12.973455;12.995363;12.984238,77.577872;77.588865;77.586026;77.593877,0.63;8.17;1.04;4.45
CMP00261,Patna,17.39,Mumbai,13.04,Pune,13.04,25.610168;25.599013;25.591857;25.57719;25.593096,85.170829;85.155325;85.173603;85.182624;85.101831,0.50;4.99;3.69;3.62;4.59
CMP00268,Patna,19.23,Jaipur,15.38,Delhi,13.46,25.587178;25.589774;25.655907;25.619688;25.603403,85.136965;85.120396;85.125203;85.110259;85.149572,0.40;5.21;1.87;9.54;2.21
CMP00269,Lucknow,13.85,Patna,13.85,Mumbai,10.77,26.84661;26.884285;26.841176;26.85191;26.840521,80.917241;80.968134;80.946872;80.895157;80.92915,0.10;1.68;0.28;0.71;11.08
CMP00270,Ahmedabad,16.67,Bengaluru,15.0,Jaipur,13.33,23.027385;23.047222;23.010163,72.544834;72.586983;72.560275,0.91;2.20;13.56
CMP00272,Lucknow,13.85,Patna,13.85,Mumbai,10.77,26.848191;26.864156;26.86908;26.872939;26.879635,80.930027;80.956037;80.962079;80.932819;80.95114,0.30;2.73;3.31;0.09;7.42
CMP00274,Delhi,16.36,Kolkata,16.36,Jaipur,14.55,28.588111;28.629367;28.688025;28.59057;28.585704,77.195768;77.237233;77.206584;77.227833;77.223107,2.61;4.46;3.23;5.69;0.37
CMP00275,Patna,19.23,Jaipur,15.38,Delhi,13.46,25.587666;25.604081;25.58202,85.095885;85.15378;85.17695,17.59;1.16;0.48
CMP00276,Bengaluru,16.07,Ahmedabad,12.5,Lucknow,12.5,12.932555;12.968965;12.930776;12.991612;12.984921,77.644643;77.639121;77.580281;77.599082;77.563255,0.93;1.02;9.62;0.09;4.41
CMP00286,Ahmedabad,16.67,Bengaluru,15.0,Jaipur,13.33,23.008742;23.021861;23.03609;23.041792;23.051219,72.554609;72.600718;72.562135;72.500186;72.527907,2.72;3.60;0.38;3.43;6.54
CMP00290,Bengaluru,16.07,Ahmedabad,12.5,Lucknow,12.5,12.991782;12.999293;12.932703,77.563456;77.576898;77.58779,0.69;1.92;13.46
CMP00299,Bengaluru,16.07,Ahmedabad,12.5,Lucknow,12.5,12.996507;12.932685;13.009119,77.582256;77.583897;77.615856,1.23;3.00;11.84
CMP00303,Lucknow,19.3,Kolkata,12.28,Jaipur,12.28,26.838659;26.856248;26.872457;26.840224,80.998119;80.956951;80.95217;80.941291,2.03;2.04;0.42;14.81
CMP00308,Delhi,16.36,Kolkata,16.36,Jaipur,14.55,28.632216;28.615866;28.636808;28.63885,77.206982;77.159045;77.217662;77.136594,1.32;0.25;3.19;11.60
CMP00312,Ahmedabad,14.52,Kolkata,12.9,Jaipur,12.9,23.050205;23.037819;23.006906;23.017733,72.545402;72.545065;72.619251;72.576836,4.99;8.18;1.12;0.23
CMP00316,Bengaluru,14.29,Jaipur,14.29,Mumbai,12.5,12.995674;12.960377;12.976539;12.944683;12.94436,77.602291;77.596287;77.605831;77.61131;77.635378,2.18;3.36;5.35;2.12;1.28
CMP00321,Delhi,16.36,Kolkata,16.36,Jaipur,14.55,28.612297;28.621934;28.654243;28.607796;28.643637,77.217219;77.219548;77.220338;77.233102;77.17831,1.77;0.19;1.80;12.52;0.08
CMP00322,Ahmedabad,16.67,Bengaluru,15.0,Jaipur,13.33,23.025512;22.990549;23.000371;22.983682;22.990171,72.545683;72.530306;72.610214;72.563812;72.556376,3.95;3.44;3.83;1.37;4.08
CMP00325,Patna,19.23,Jaipur,15.38,Delhi,13.46,25.576896;25.618644;25.531615,85.193911;85.129479;85.194874,0.69;8.45;10.09
CMP00326,Patna,17.39,Mumbai,13.04,Pune,13.04,25.652315;25.611099;25.587783;25.589378;25.593258,85.155729;85.151987;85.147402;85.151427;85.113841,0.20;3.16;3.62;3.85;6.56
CMP00336,Ahmedabad,14.52,Kolkata,12.9,Jaipur,12.9,22.974697;23.060363;23.007417;23.019143,72.581321;72.590727;72.53173;72.567419,1.64;1.85;2.03;9.00
CMP00339,Patna,19.23,Jaipur,15.38,Delhi,13.46,25.579066;25.554275;25.593609,85.145595;85.148612;85.151412,10.53;1.84;6.86
CMP00340,Ahmedabad,16.67,Bengaluru,15.0,Jaipur,13.33,23.034299;23.052654;23.015401,72.57488;72.580999;72.58143,11.01;5.36;0.30
CMP00341,Patna,19.23,Jaipur,15.38,Delhi,13.46,25.563003;25.57614;25.586726,85.120277;85.159973;85.168794,2.68;10.61;5.94
CMP00342,Lucknow,19.3,Kolkata,12.28,Jaipur,12.28,26.81701;26.862544;26.842068;26.847795,80.953946;80.956545;80.942954;80.942525,7.64;0.70;6.79;4.17
CMP00343,Bengaluru,14.29,Jaipur,14.29,Mumbai,12.5,12.969393;12.951508;13.013543;12.985825,77.659093;77.635578;77.58076;77.63531,5.37;4.55;1.52;2.85
CMP00354,Lucknow,13.85,Patna,13.85,Mumbai,10.77,26.832158;26.830468;26.847552;26.852545,80.920831;80.915601;80.926951;80.907303,1.62;0.42;0.45;11.36
CMP00358,Patna,19.23,Jaipur,15.38,Delhi,13.46,25.564785;25.611475;25.587588,85.106763;85.186264;85.180771,10.37;5.14;3.72
CMP00360,Delhi,16.36,Kolkata,16.36,Jaipur,14.55,28.627369;28.618134;28.611119,77.185983;77.173657;77.186402,0.25;3.34;12.77
CMP00373,Ahmedabad,14.52,Kolkata,12.9,Jaipur,12.9,23.009152;23.024325;23.02438;23.003771;23.009313,72.536221;72.590902;72.602076;72.577034;72.580442,2.87;0.87;2.22;3.23;5.33
CMP00374,Lucknow,19.3,Kolkata,12.28,Jaipur,12.28,26.82705;26.800795;26.819116;26.856414;26.846548,80.912919;80.9589;80.892378;81.008525;80.967162,6.88;5.99;4.85;0.14;1.44
CMP00378,Delhi,16.36,Kolkata,16.36,Jaipur,14.55,28.615946;28.636877;28.620585;28.597198,77.206528;77.201743;77.217042;77.233801,8.22;3.23;0.40;4.51
CMP00380,Ahmedabad,14.52,Kolkata,12.9,Jaipur,12.9,22.996586;23.023763;23.016871,72.604227;72.575662;72.576339,1.55;9.47;3.50
CMP00388,Patna,19.23,Jaipur,15.38,Delhi,13.46,25.594359;25.567472;25.578862;25.595516;25.592338,85.104804;85.129969;85.132926;85.150842;85.149763,5.02;6.49;1.69;2.36;3.67
CMP00389,Mumbai,20.0,Hyderabad,20.0,Bengaluru,13.33,19.045758;19.114269;19.070664;19.079717,72.892698;72.908169;72.914968;72.869273,4.22;7.97;6.54;1.27
CMP00395,Lucknow,19.3,Kolkata,12.28,Jaipur,12.28,26.831365;26.836996;26.850714;26.857623,80.938638;80.95046;80.946276;80.975966,17.00;1.13;0.63;0.54
CMP00397,Ahmedabad,16.67,Bengaluru,15.0,Jaipur,13.33,23.019287;23.009822;23.052695;23.044466;23.021753,72.596134;72.542124;72.563484;72.590455;72.567042,2.19;5.85;4.48;3.32;0.83
CMP00403,Bengaluru,14.29,Jaipur,14.29,Mumbai,12.5,12.974321;12.946747;12.922596;12.941774,77.566634;77.593827;77.646114;77.593598,3.90;0.12;1.79;8.48
CMP00404,Mumbai,20.0,Hyderabad,20.0,Bengaluru,13.33,19.041702;19.112779;19.059273,72.837361;72.872467;72.903698,3.30;11.25;5.45
CMP00406,Patna,17.39,Mumbai,13.04,Pune,13.04,25.648033;25.612652;25.626644;25.5949,85.122457;85.145082;85.176638;85.118765,5.23;2.58;1.32;8.26
CMP00408,Mumbai,20.0,Hyderabad,20.0,Bengaluru,13.33,19.070275;19.081924;19.055938,72.879951;72.866329;72.91017,1.47;12.06;6.47
CMP00410,Ahmedabad,16.67,Bengaluru,15.0,Jaipur,13.33,22.996327;23.052143;23.047401,72.584816;72.589374;72.55248,2.58;3.16;10.93
CMP00412,Ahmedabad,16.67,Bengaluru,15.0,Jaipur,13.33,23.038542;23.007916;23.05889;23.041145;23.001157,72.602016;72.572365;72.616382;72.586236;72.58038,5.88;2.89;1.38;0.78;5.74
CMP00422,Ahmedabad,14.52,Kolkata,12.9,Jaipur,12.9,23.073905;23.016969;23.030185;23.044012;23.018322,72.54382;72.56448;72.591793;72.556823;72.578464,1.38;8.82;0.85;1.56;1.91
CMP00426,Ahmedabad,16.67,Bengaluru,15.0,Jaipur,13.33,22.99653;23.030657;23.020141;23.042817;23.023262,72.583973;72.572158;72.569253;72.585848;72.534102,3.51;1.54;4.61;3.26;3.75
CMP00427,Ahmedabad,14.52,Kolkata,12.9,Jaipur,12.9,22.975021;23.067784;23.030716;23.006941,72.573361;72.586989;72.593906;72.583352,5.52;3.97;2.35;2.68
CMP00428,Ahmedabad,16.67,Bengaluru,15.0,Jaipur,13.33,23.017274;23.007987;23.064248;22.992603;23.052416,72.550137;72.586114;72.581267;72.582515;72.556155,1.47;0.02;0.67;3.08;11.43
CMP00430,Bengaluru,14.29,Jaipur,14.29,Mumbai,12.5,12.935354;12.960245;12.95117;12.986326;12.929129,77.566942;77.574091;77.542247;77.603068;77.63103,3.16;0.02;5.60;0.14;5.37
CMP00433,Patna,19.23,Jaipur,15.38,Delhi,13.46,25.623264;25.598628;25.649456;25.597261,85.123275;85.116706;85.1302;85.120402,3.80;8.50;0.02;6.91
CMP00437,Bengaluru,16.07,Ahmedabad,12.5,Lucknow,12.5,12.991059;12.951145;12.967345;12.98901;12.97381,77.58082;77.594516;77.583269;77.618483;77.631538,2.48;2.48;2.79;3.40;4.92
CMP00439,Lucknow,19.3,Kolkata,12.28,Jaipur,12.28,26.844633;26.884536;26.821095;26.877226,80.943156;80.96197;80.992552;80.960752,6.56;1.80;4.50;6.44
CMP00442,Lucknow,19.3,Kolkata,12.28,Jaipur,12.28,26.893815;26.834479;26.850222;26.854779,80.984781;80.91821;80.901989;80.94251,0.82;3.43;11.90;3.15
CMP00445,Lucknow,19.3,Kolkata,12.28,Jaipur,12.28,26.837479;26.841897;26.818915,80.956244;80.980962;80.944909,1.98;3.71;13.61
CMP00447,Ahmedabad,16.67,Bengaluru,15.0,Jaipur,13.33,23.064031;23.007445;22.99754,72.559973;72.583119;72.578945,0.68;10.47;5.52
CMP00449,Ahmedabad,14.52,Kolkata,12.9,Jaipur,12.9,22.998091;23.031376;23.001493;23.014904;23.009348,72.549089;72.565872;72.548329;72.610603;72.57105,3.53;2.71;7.95;0.18;0.15
CMP00454,Ahmedabad,14.52,Kolkata,12.9,Jaipur,12.9,22.978429;23.028677;23.04006;23.019761,72.545734;72.573583;72.573819;72.5563,0.28;10.28;0.65;3.31
CMP00463,Ahmedabad,14.52,Kolkata,12.9,Jaipur,12.9,23.042357;23.029839;23.034161,72.540043;72.537485;72.570509,0.78;3.41;10.33
CMP00469,Ahmedabad,14.52,Kolkata,12.9,Jaipur,12.9,23.011831;23.038324;23.047938,72.557854;72.560161;72.63798,9.14;4.19;1.19
CMP00470,Patna,17.39,Mumbai,13.04,Pune,13.04,25.598511;25.57341;25.567297,85.128424;85.139754;85.064566,0.63;10.15;6.61
CMP00471,Bengaluru,14.29,Jaipur,14.29,Mumbai,12.5,12.96039;13.015847;12.953831,77.64485;77.568741;77.596444,0.52;8.34;5.43
CMP00472,Mumbai,20.0,Hyderabad,20.0,Bengaluru,13.33,19.059851;19.063931;19.079067;19.084077;19.068705,72.85772;72.853867;72.918317;72.871391;72.83862,3.14;7.18;2.69;0.23;6.76
CMP00480,Ahmedabad,16.67,Bengaluru,15.0,Jaipur,13.33,23.020974;23.024584;22.998164,72.553004;72.593432;72.571265,12.27;4.32;0.08
CMP00482,Delhi,16.36,Kolkata,16.36,Jaipur,14.55,28.616732;28.636881;28.660732;28.602717;28.615596,77.173043;77.192296;77.236001;77.241025;77.230319,2.16;3.49;0.97;3.02;6.72
CMP00486,Delhi,16.36,Kolkata,16.36,Jaipur,14.55,28.605531;28.590022;28.665463;28.614505,77.198909;77.21959;77.182312;77.244306,0.85;5.87;7.77;1.87
CMP00489,Ahmedabad,16.67,Bengaluru,15.0,Jaipur,13.33,22.992775;23.023318;23.067323;23.002366;23.029274,72.565019;72.564727;72.576999;72.586311;72.579005,5.58;0.88;6.76;1.80;1.65
