complaint_id,hop_count,total_elapsed_minutes,avg_minutes_between_hops,min_minutes_between_hops,city_changed,fraud_amount,crime_type,minutes_since_last_hop,was_cash_withdrawn,final_hop_lat,final_hop_lon,final_hop_city
CMP00035,4,154.0,51.33,16.0,False,110700,OTP Fraud,18387.62,True,22.55489,88.326057,Kolkata
CMP00036,6,200.0,40.0,13.0,False,19500,Investment Fraud,40802.55,True,26.861298,80.937218,Lucknow
CMP00037,2,53.0,53.0,53.0,True,65700,Digital Arrest Scam,15428.27,True,18.549728,73.865941,Pune
CMP00038,7,237.0,39.5,13.0,True,15000,UPI Fraud,34462.9,True,18.512961,73.891093,Pune
CMP00039,4,193.0,64.33,39.0,False,17800,Digital Arrest Scam,7669.67,False,28.593021,77.261238,Delhi
CMP00040,2,33.0,33.0,33.0,True,65000,OTP Fraud,29608.77,True,23.033423,72.601166,Ahmedabad
CMP00041,6,210.0,42.0,4.0,True,103000,Investment Fraud,26864.83,False,26.858974,80.964572,Lucknow
CMP00042,5,226.0,56.5,15.0,False,63600,OTP Fraud,32666.7,True,23.00454,72.593773,Ahmedabad
CMP00043,5,110.0,27.5,3.0,True,49900,UPI Fraud,38693.93,True,22.57251,88.334941,Kolkata
CMP00044,2,69.0,69.0,69.0,True,42600,Loan App Fraud,37624.58,True,26.84765,80.949201,Lucknow
CMP00045,4,144.0,48.0,14.0,True,15700,Loan App Fraud,7797.7,True,18.545083,73.854801,Pune
CMP00046,3,71.0,35.5,2.0,True,29800,Investment Fraud,11188.67,True,25.580998,85.141409,Patna
CMP00047,6,224.0,44.8,11.0,False,37200,OTP Fraud,18337.87,True,28.66143,77.207483,Delhi
CMP00048,4,126.0,42.0,24.0,False,135100,UPI Fraud,35573.17,True,13.023809,77.59111,Bengaluru
CMP00049,2,17.0,17.0,17.0,True,73700,OTP Fraud,35605.85,True,22.600305,88.337902,Kolkata
CMP00050,4,96.0,32.0,5.0,True,15000,Loan App Fraud,10720.88,True,22.96153,72.568043,Ahmedabad
CMP00051,6,162.0,32.4,12.0,True,72400,OTP Fraud,37676.97,False,28.626971,77.194657,Delhi
CMP00052,6,151.0,30.2,6.0,False,39600,Loan App Fraud,41908.9,False,28.638508,77.20365,Delhi
CMP00053,7,312.0,52.0,7.0,False,30900,UPI Fraud,1259.17,True,25.580705,85.094916,Patna
CMP00054,2,78.0,78.0,78.0,False,92500,Digital Arrest Scam,21604.43,True,26.902606,75.76424,Jaipur
CMP00055,2,84.0,84.0,84.0,False,132100,OTP Fraud,16954.78,True,28.638915,77.192234,Delhi
CMP00056,5,130.0,32.5,24.0,False,121400,Investment Fraud,6068.25,True,19.094605,72.873169,Mumbai
CMP00057,6,203.0,40.6,15.0,False,27000,Digital Arrest Scam,37214.5,True,19.045356,72.841091,Mumbai
CMP00058,5,128.0,32.0,4.0,False,42300,OTP Fraud,33302.28,True,12.985351,77.570391,Bengaluru
CMP00059,4,182.0,60.67,45.0,True,72900,OTP Fraud,18517.45,False,22.975621,72.574276,Ahmedabad
CMP00060,6,223.0,44.6,28.0,True,126000,Digital Arrest Scam,29555.13,True,19.060665,72.870138,Mumbai
CMP00061,4,118.0,39.33,19.0,False,36600,Loan App Fraud,14151.12,False,22.528274,88.395448,Kolkata
CMP00062,4,96.0,32.0,26.0,False,47000,Investment Fraud,26159.63,True,26.84335,80.946567,Lucknow
CMP00063,6,216.0,43.2,2.0,True,21500,UPI Fraud,31523.82,True,13.013414,77.605075,Bengaluru
CMP00064,3,24.0,12.0,9.0,True,19900,UPI Fraud,15847.12,True,18.50016,73.867302,Pune
CMP00065,5,179.0,44.75,31.0,True,109700,OTP Fraud,1461.05,False,22.534541,88.391717,Kolkata
CMP00066,5,146.0,36.5,5.0,True,174200,OTP Fraud,16112.83,True,19.100121,72.91809,Mumbai
CMP00067,2,65.0,65.0,65.0,True,51700,UPI Fraud,647.32,True,18.542655,73.882581,Pune
CMP00068,5,182.0,45.5,38.0,False,129100,UPI Fraud,16010.83,False,28.583041,77.194188,Delhi
CMP00069,4,150.0,50.0,34.0,True,74800,UPI Fraud,23079.27,True,26.842188,81.026028,Lucknow
CMP00070,3,140.0,70.0,65.0,False,31800,Loan App Fraud,16675.37,True,22.592437,88.320187,Kolkata
CMP00071,5,109.0,27.25,3.0,False,74800,OTP Fraud,15021.88,True,25.567281,85.143581,Patna
CMP00072,6,302.0,60.4,27.0,False,203300,OTP Fraud,39769.45,False,13.001476,77.55652,Bengaluru
CMP00073,6,291.0,58.2,19.0,False,53400,Investment Fraud,16869.38,True,25.625743,85.115946,Patna
CMP00074,6,210.0,42.0,5.0,True,207900,UPI Fraud,13295.27,False,17.360709,78.45221,Hyderabad
CMP00075,2,31.0,31.0,31.0,False,15000,Loan App Fraud,30254.3,True,19.049372,72.870069,Mumbai
CMP00076,4,127.0,42.33,15.0,False,110600,Investment Fraud,28758.77,True,26.835618,80.92408,Lucknow
CMP00077,7,293.0,48.83,38.0,True,59200,UPI Fraud,6717.55,True,26.888489,75.79911,Jaipur
CMP00078,6,144.0,28.8,12.0,True,42700,UPI Fraud,23771.62,False,18.532061,73.855809,Pune
CMP00079,4,160.0,53.33,30.0,False,59500,Digital Arrest Scam,13445.77,True,17.384532,78.476987,Hyderabad
CMP00080,7,225.0,37.5,13.0,True,15000,Digital Arrest Scam,31350.0,False,26.828312,80.977102,Lucknow
CMP00081,5,128.0,32.0,18.0,True,45600,Loan App Fraud,12858.38,True,23.04251,72.590257,Ahmedabad
CMP00082,7,336.0,56.0,5.0,True,74500,UPI Fraud,17281.38,True,26.850916,80.957249,Lucknow
CMP00083,7,336.0,56.0,11.0,True,193200,UPI Fraud,38345.17,False,23.016321,72.55435,Ahmedabad
CMP00084,6,152.0,30.4,5.0,False,35400,UPI Fraud,37806.48,True,28.597615,77.196903,Delhi
CMP00085,2,16.0,16.0,16.0,True,27700,Digital Arrest Scam,16690.77,False,26.819426,80.93593,Lucknow
CMP00086,5,258.0,64.5,55.0,True,35900,Investment Fraud,33854.42,False,22.510115,88.421174,Kolkata
CMP00087,4,139.0,46.33,8.0,True,119800,UPI Fraud,28059.38,True,25.567927,85.151016,Patna
CMP00088,4,108.0,36.0,3.0,False,72700,UPI Fraud,26533.78,True,12.968139,77.563993,Bengaluru
CMP00089,3,77.0,38.5,25.0,False,35100,Investment Fraud,18627.68,True,26.83897,80.927396,Lucknow
CMP00090,2,14.0,14.0,14.0,True,85100,OTP Fraud,29756.0,True,12.961896,77.59886,Bengaluru
CMP00091,6,267.0,53.4,29.0,True,59700,Digital Arrest Scam,10693.72,False,18.486753,73.836219,Pune
CMP00092,3,90.0,45.0,37.0,True,125300,UPI Fraud,15315.03,True,22.588551,88.376421,Kolkata
CMP00093,7,200.0,33.33,15.0,True,30300,UPI Fraud,37836.83,True,28.657299,77.213948,Delhi
CMP00094,3,163.0,81.5,73.0,True,41600,UPI Fraud,4050.78,False,19.092658,72.889265,Mumbai
CMP00095,2,12.0,12.0,12.0,True,39400,OTP Fraud,33500.57,True,26.887659,75.810819,Jaipur
CMP00096,4,110.0,36.67,5.0,True,15900,UPI Fraud,11089.98,True,26.838503,80.95008,Lucknow
CMP00097,4,174.0,58.0,37.0,False,70700,Digital Arrest Scam,5565.83,False,22.562424,88.381058,Kolkata
CMP00098,7,285.0,47.5,3.0,False,68700,UPI Fraud,41473.62,True,19.111513,72.863431,Mumbai
CMP00099,7,241.0,40.17,2.0,False,55200,UPI Fraud,28159.6,False,17.375867,78.491317,Hyderabad
CMP00100,6,177.0,35.4,13.0,False,45100,OTP Fraud,17211.35,True,23.021669,72.566197,Ahmedabad
CMP00101,2,32.0,32.0,32.0,False,16500,OTP Fraud,2936.78,True,23.033944,72.613262,Ahmedabad
CMP00102,5,192.0,48.0,6.0,True,38500,OTP Fraud,29291.58,False,28.627437,77.227979,Delhi
CMP00103,2,14.0,14.0,14.0,True,41100,Loan App Fraud,36712.8,True,26.911761,75.816618,Jaipur
CMP00104,3,115.0,57.5,57.0,True,27800,Loan App Fraud,14381.4,True,25.609639,85.12836,Patna
CMP00105,2,48.0,48.0,48.0,True,48000,Investment Fraud,18653.45,True,26.874782,75.806301,Jaipur
CMP00106,6,209.0,41.8,24.0,False,77500,Investment Fraud,20946.95,True,12.942124,77.624292,Bengaluru
CMP00107,3,40.0,20.0,3.0,True,273300,UPI Fraud,5166.77,True,25.590911,85.175379,Patna
CMP00108,4,151.0,50.33,23.0,False,63800,UPI Fraud,39343.75,True,25.562092,85.159411,Patna
CMP00109,5,202.0,50.5,39.0,True,68500,Digital Arrest Scam,37577.02,True,18.563589,73.867608,Pune
CMP00110,7,314.0,52.33,12.0,True,51600,Digital Arrest Scam,18442.5,True,28.621879,77.242511,Delhi
CMP00111,6,242.0,48.4,14.0,True,15000,Digital Arrest Scam,4779.5,True,18.531318,73.866807,Pune
CMP00112,2,15.0,15.0,15.0,False,53800,Digital Arrest Scam,20046.7,True,26.899001,75.807501,Jaipur
CMP00113,4,107.0,35.67,9.0,True,57900,Loan App Fraud,37997.33,True,17.411239,78.473319,Hyderabad
CMP00114,3,108.0,54.0,46.0,True,446300,UPI Fraud,37000.28,True,13.013698,77.583128,Bengaluru
CMP00115,7,380.0,63.33,41.0,True,46700,UPI Fraud,20747.73,True,17.392082,78.480227,Hyderabad
CMP00116,6,261.0,52.2,9.0,True,71100,UPI Fraud,18428.15,True,26.838724,80.926299,Lucknow
CMP00117,3,115.0,57.5,31.0,False,53400,Digital Arrest Scam,38755.78,False,19.113585,72.899634,Mumbai
CMP00118,2,76.0,76.0,76.0,False,20400,OTP Fraud,19780.83,True,18.514813,73.847967,Pune
CMP00119,7,328.0,54.67,3.0,True,145300,Digital Arrest Scam,23848.72,True,22.511994,88.386001,Kolkata
CMP00120,6,243.0,48.6,14.0,True,104200,Investment Fraud,35280.3,False,19.097752,72.890092,Mumbai
CMP00121,3,128.0,64.0,54.0,True,107700,UPI Fraud,3611.75,False,12.98206,77.62964,Bengaluru
CMP00122,4,115.0,38.33,16.0,False,25400,UPI Fraud,19374.98,True,26.844089,80.941979,Lucknow
CMP00123,4,86.0,28.67,3.0,True,181200,Digital Arrest Scam,23391.93,True,18.461327,73.831457,Pune
CMP00124,4,146.0,48.67,25.0,True,16700,Investment Fraud,11343.03,True,26.932578,75.762961,Jaipur
CMP00125,3,143.0,71.5,68.0,False,90600,OTP Fraud,29971.12,False,22.542358,88.378898,Kolkata
CMP00126,4,57.0,19.0,4.0,False,354000,UPI Fraud,7917.2,False,28.60805,77.220659,Delhi
CMP00127,7,318.0,53.0,13.0,True,23700,UPI Fraud,37959.17,True,22.558321,88.378215,Kolkata
CMP00128,4,168.0,56.0,36.0,True,34000,OTP Fraud,40723.02,False,28.634412,77.221682,Delhi
CMP00129,5,192.0,48.0,13.0,True,59900,Digital Arrest Scam,29981.92,True,17.383238,78.498863,Hyderabad
CMP00130,6,227.0,45.4,20.0,True,35900,Loan App Fraud,21477.47,False,22.547617,88.351281,Kolkata
CMP00131,7,316.0,52.67,28.0,True,15000,Digital Arrest Scam,24893.32,False,17.372779,78.45871,Hyderabad
CMP00132,4,42.0,14.0,4.0,True,58300,Loan App Fraud,7333.43,True,28.603169,77.223714,Delhi
CMP00133,7,180.0,30.0,2.0,False,22300,OTP Fraud,28439.48,True,22.605144,88.402938,Kolkata
CMP00134,3,79.0,39.5,10.0,True,82300,Digital Arrest Scam,16630.78,True,19.108609,72.836138,Mumbai
CMP00135,2,4.0,4.0,4.0,False,25200,UPI Fraud,29026.12,False,13.001514,77.590637,Bengaluru
CMP00136,7,238.0,39.67,10.0,True,205400,Investment Fraud,23200.08,True,28.616967,77.249617,Delhi
CMP00137,2,9.0,9.0,9.0,True,28300,Digital Arrest Scam,18771.72,True,28.603167,77.191689,Delhi
CMP00138,6,160.0,32.0,17.0,True,41800,UPI Fraud,26768.25,True,25.604092,85.121316,Patna
CMP00139,2,64.0,64.0,64.0,True,109800,Digital Arrest Scam,15650.88,True,18.51393,73.896666,Pune
CMP00140,5,104.0,26.0,4.0,False,19300,Loan App Fraud,24549.53,False,25.593412,85.181906,Patna
CMP00141,4,256.0,85.33,83.0,False,66700,UPI Fraud,15523.13,True,17.382791,78.47745,Hyderabad
CMP00142,3,28.0,14.0,10.0,True,167100,Loan App Fraud,28018.43,True,26.913825,75.794015,Jaipur
CMP00143,4,126.0,42.0,24.0,True,15000,Loan App Fraud,4933.5,True,17.319895,78.491674,Hyderabad
CMP00144,5,192.0,48.0,35.0,False,64300,Investment Fraud,35561.68,False,26.930591,75.788599,Jaipur
CMP00145,7,276.0,46.0,10.0,True,68600,UPI Fraud,23026.7,False,12.964305,77.55552,Bengaluru
CMP00146,6,268.0,53.6,4.0,True,106900,Digital Arrest Scam,18162.9,False,26.919078,75.800018,Jaipur
CMP00147,3,93.0,46.5,7.0,True,19200,UPI Fraud,18630.08,True,28.615961,77.172561,Delhi
CMP00148,5,292.0,73.0,65.0,True,17900,Investment Fraud,41589.0,False,28.598321,77.195113,Delhi
CMP00149,3,127.0,63.5,49.0,False,85700,Investment Fraud,22000.28,True,26.907721,75.811943,Jaipur
CMP00150,5,224.0,56.0,18.0,False,70800,UPI Fraud,35714.7,True,23.032048,72.582151,Ahmedabad
CMP00151,5,237.0,59.25,18.0,False,68100,Digital Arrest Scam,40242.07,True,26.812704,80.964856,Lucknow
CMP00152,5,212.0,53.0,6.0,False,73800,Investment Fraud,3067.48,True,18.533763,73.878891,Pune
CMP00153,7,293.0,48.83,4.0,True,30900,OTP Fraud,36236.7,True,12.962539,77.566608,Bengaluru
CMP00154,7,312.0,52.0,27.0,False,67000,Investment Fraud,25319.57,False,17.410602,78.501513,Hyderabad
CMP00155,2,82.0,82.0,82.0,False,70600,OTP Fraud,23160.3,True,19.083469,72.858905,Mumbai
CMP00156,4,152.0,50.67,16.0,False,30000,Loan App Fraud,8696.58,False,26.930285,75.805255,Jaipur
CMP00157,2,40.0,40.0,40.0,False,268600,Investment Fraud,21763.2,False,22.519554,88.348704,Kolkata
CMP00158,2,39.0,39.0,39.0,False,82300,Loan App Fraud,28274.47,False,26.878722,75.76301,Jaipur
CMP00159,2,85.0,85.0,85.0,False,20000,Digital Arrest Scam,9020.7,False,22.591121,88.35107,Kolkata
CMP00160,5,122.0,30.5,18.0,True,96100,Digital Arrest Scam,26543.82,True,23.054744,72.58823,Ahmedabad
CMP00161,3,39.0,19.5,18.0,False,24000,Loan App Fraud,39896.98,True,23.061638,72.569756,Ahmedabad
CMP00162,3,29.0,14.5,12.0,True,107400,UPI Fraud,38430.23,True,17.429942,78.502721,Hyderabad
CMP00163,5,178.0,44.5,16.0,False,147300,Digital Arrest Scam,20068.37,False,18.538136,73.845813,Pune
CMP00164,3,121.0,60.5,35.0,True,27400,OTP Fraud,40574.52,False,25.589922,85.141268,Patna
CMP00165,5,137.0,34.25,12.0,False,124700,Investment Fraud,32528.67,True,26.88271,75.795046,Jaipur
CMP00166,4,129.0,43.0,2.0,True,78100,OTP Fraud,14963.45,False,26.939924,75.836259,Jaipur
CMP00167,3,61.0,30.5,24.0,True,110600,UPI Fraud,11945.93,True,19.110016,72.844979,Mumbai
CMP00168,2,2.0,2.0,2.0,False,275800,OTP Fraud,36168.35,False,18.522321,73.824625,Pune
CMP00169,3,79.0,39.5,9.0,True,44600,Digital Arrest Scam,6662.88,True,17.373249,78.493347,Hyderabad
CMP00170,3,64.0,32.0,16.0,True,29000,Digital Arrest Scam,15851.17,True,28.602054,77.208639,Delhi
CMP00171,5,271.0,67.75,52.0,True,25800,UPI Fraud,1634.1,True,26.876999,80.952731,Lucknow
CMP00172,4,178.0,59.33,20.0,True,27500,OTP Fraud,33182.08,False,28.616534,77.175649,Delhi
CMP00173,3,78.0,39.0,10.0,True,51500,Investment Fraud,31949.53,False,28.597668,77.178401,Delhi
CMP00174,5,219.0,54.75,44.0,True,73500,Investment Fraud,13510.65,True,26.925428,75.80343,Jaipur
CMP00175,7,298.0,49.67,7.0,False,69600,Digital Arrest Scam,27819.4,False,25.627305,85.151506,Patna
CMP00176,5,207.0,51.75,22.0,True,111100,UPI Fraud,395.25,True,19.038587,72.861449,Mumbai
CMP00177,4,133.0,44.33,15.0,False,55600,Digital Arrest Scam,15301.75,False,26.816852,80.949774,Lucknow
CMP00178,7,273.0,45.5,12.0,True,189200,UPI Fraud,32342.03,False,28.629744,77.219345,Delhi
CMP00179,7,378.0,63.0,6.0,True,43900,UPI Fraud,17250.87,True,19.073535,72.878171,Mumbai
CMP00180,3,91.0,45.5,42.0,True,500000,Investment Fraud,9424.72,True,22.542865,88.404967,Kolkata
CMP00181,6,223.0,44.6,17.0,True,93600,OTP Fraud,38997.35,False,26.881112,75.823394,Jaipur
CMP00182,6,193.0,38.6,9.0,False,26500,OTP Fraud,30905.77,True,26.922114,75.849625,Jaipur
CMP00183,3,98.0,49.0,8.0,True,22100,OTP Fraud,29900.98,True,26.884969,80.976669,Lucknow
CMP00184,3,114.0,57.0,40.0,False,82900,Investment Fraud,11225.58,True,25.576732,85.127368,Patna
CMP00185,5,227.0,56.75,45.0,False,45500,Digital Arrest Scam,18106.45,False,25.582023,85.14127,Patna
CMP00186,5,115.0,28.75,9.0,True,100900,Investment Fraud,36460.13,True,25.622819,85.094107,Patna
CMP00187,2,53.0,53.0,53.0,True,82200,Investment Fraud,19290.4,False,28.546319,77.225947,Delhi
CMP00188,5,262.0,65.5,49.0,False,51700,Digital Arrest Scam,19910.48,True,19.09447,72.893084,Mumbai
CMP00189,5,214.0,53.5,22.0,True,26800,Loan App Fraud,23464.08,False,17.36431,78.488854,Hyderabad
CMP00190,5,165.0,41.25,22.0,False,15200,Digital Arrest Scam,5611.43,True,22.572957,88.340052,Kolkata
CMP00191,3,131.0,65.5,50.0,False,37600,Investment Fraud,16209.98,True,12.957546,77.589369,Bengaluru
CMP00192,3,141.0,70.5,51.0,False,113900,UPI Fraud,15014.03,True,12.908343,77.58745,Bengaluru
CMP00193,3,83.0,41.5,17.0,False,66000,Loan App Fraud,28593.9,True,26.900633,80.931057,Lucknow
CMP00194,6,209.0,41.8,8.0,False,19100,Investment Fraud,32500.12,False,22.555763,88.370875,Kolkata
CMP00195,7,207.0,34.5,2.0,False,63700,Investment Fraud,14393.42,False,28.620628,77.20042,Delhi
CMP00196,3,161.0,80.5,74.0,False,76300,UPI Fraud,40829.75,True,26.863747,80.992368,Lucknow
CMP00197,3,53.0,26.5,24.0,False,25900,Investment Fraud,26693.2,True,23.036638,72.527381,Ahmedabad
CMP00198,4,80.0,26.67,10.0,True,62700,Loan App Fraud,24663.37,False,26.92524,75.773982,Jaipur
CMP00199,7,258.0,43.0,13.0,False,57800,OTP Fraud,29188.35,True,26.832287,80.881424,Lucknow
CMP00200,7,331.0,55.17,26.0,True,20800,Digital Arrest Scam,42019.05,True,25.593233,85.143455,Patna
CMP00201,2,78.0,78.0,78.0,True,74500,Loan App Fraud,15409.33,False,22.590024,88.355555,Kolkata
CMP00202,6,230.0,46.0,5.0,True,88600,UPI Fraud,33934.48,True,23.047044,72.563279,Ahmedabad
CMP00203,6,288.0,57.6,42.0,False,138100,Investment Fraud,23410.8,True,26.851111,80.937024,Lucknow
CMP00204,7,153.0,25.5,3.0,False,134700,Digital Arrest Scam,32689.58,True,12.964226,77.625794,Bengaluru
CMP00205,3,79.0,39.5,25.0,False,17100,UPI Fraud,37441.58,True,23.032481,72.58758,Ahmedabad
CMP00206,4,134.0,44.67,29.0,True,24800,OTP Fraud,41444.95,True,23.029647,72.579761,Ahmedabad
CMP00207,6,195.0,39.0,9.0,True,85200,Investment Fraud,5863.0,False,19.058884,72.897466,Mumbai
CMP00208,3,107.0,53.5,28.0,True,85100,Digital Arrest Scam,32371.7,True,26.936497,75.842563,Jaipur
CMP00209,3,101.0,50.5,20.0,True,85200,Investment Fraud,18278.88,True,22.98297,72.593776,Ahmedabad
CMP00210,5,127.0,31.75,10.0,False,500000,Investment Fraud,14836.77,True,26.978509,75.749726,Jaipur
CMP00211,4,115.0,38.33,22.0,True,89400,Investment Fraud,23664.63,False,17.366635,78.466444,Hyderabad
CMP00212,4,146.0,48.67,36.0,False,144400,Loan App Fraud,29469.17,True,18.456552,73.880058,Pune
CMP00213,6,110.0,22.0,9.0,False,123700,UPI Fraud,32954.47,True,19.05845,72.861127,Mumbai
CMP00214,3,59.0,29.5,12.0,True,95700,Loan App Fraud,3762.68,True,25.596233,85.117393,Patna
CMP00215,4,161.0,53.67,31.0,True,42100,UPI Fraud,4816.42,False,26.877595,80.919424,Lucknow
CMP00216,6,324.0,64.8,25.0,True,104800,Digital Arrest Scam,17158.0,False,26.831389,80.955238,Lucknow
CMP00217,3,46.0,23.0,22.0,True,28500,Digital Arrest Scam,10740.93,True,26.882269,80.969355,Lucknow
CMP00218,6,141.0,28.2,3.0,False,45000,UPI Fraud,33170.97,False,12.971109,77.608412,Bengaluru
CMP00219,7,308.0,51.33,31.0,False,36400,Investment Fraud,15094.47,True,23.065813,72.627183,Ahmedabad
CMP00220,4,138.0,46.0,26.0,True,59000,Digital Arrest Scam,25855.28,False,22.984359,72.602965,Ahmedabad
CMP00221,3,84.0,42.0,40.0,False,393400,UPI Fraud,42545.32,True,23.011362,72.607735,Ahmedabad
CMP00222,4,74.0,24.67,5.0,False,15000,UPI Fraud,21815.83,False,12.975812,77.62754,Bengaluru
CMP00223,5,280.0,70.0,54.0,True,98600,Loan App Fraud,1712.7,False,18.546898,73.872125,Pune
CMP00224,2,14.0,14.0,14.0,True,15000,Investment Fraud,26430.5,False,26.832187,80.960914,Lucknow
CMP00225,6,201.0,40.2,7.0,False,36800,OTP Fraud,5248.18,True,17.42543,78.489309,Hyderabad
CMP00226,3,19.0,9.5,2.0,True,138800,Loan App Fraud,7238.07,True,18.480447,73.868254,Pune
CMP00227,6,118.0,23.6,9.0,True,58100,OTP Fraud,8558.0,True,18.51482,73.893947,Pune
CMP00228,4,94.0,31.33,6.0,True,22000,OTP Fraud,24352.95,True,26.82174,80.953745,Lucknow
CMP00229,3,87.0,43.5,20.0,True,29900,UPI Fraud,26014.42,True,25.571913,85.126664,Patna
CMP00230,5,258.0,64.5,20.0,False,98000,UPI Fraud,23743.43,False,22.574275,88.376798,Kolkata
CMP00231,5,168.0,42.0,13.0,False,29600,UPI Fraud,34254.22,False,26.886563,80.925026,Lucknow
CMP00232,5,110.0,27.5,2.0,False,66100,Investment Fraud,25343.42,True,26.86411,80.970083,Lucknow
CMP00233,6,237.0,47.4,12.0,False,57200,Digital Arrest Scam,30409.4,True,12.970974,77.615044,Bengaluru
CMP00234,5,264.0,66.0,29.0,False,31600,OTP Fraud,18745.77,False,22.626874,88.359503,Kolkata
CMP00235,3,64.0,32.0,24.0,False,340300,Investment Fraud,33873.57,True,22.598164,88.424894,Kolkata
CMP00236,7,232.0,38.67,11.0,False,94300,Loan App Fraud,41367.62,True,26.83138,80.936507,Lucknow
CMP00237,2,69.0,69.0,69.0,False,15000,UPI Fraud,17283.0,True,26.909187,75.740254,Jaipur
CMP00238,4,124.0,41.33,9.0,False,64400,Digital Arrest Scam,31554.98,True,18.502775,73.855306,Pune
CMP00239,7,317.0,52.83,3.0,False,31300,OTP Fraud,39704.02,False,25.580127,85.14703,Patna
CMP00240,3,147.0,73.5,57.0,False,113500,UPI Fraud,23520.47,False,26.85742,80.963528,Lucknow
CMP00241,7,183.0,30.5,9.0,True,28000,Digital Arrest Scam,22711.78,False,17.386696,78.508019,Hyderabad
CMP00242,6,233.0,46.6,6.0,True,49900,Loan App Fraud,14790.9,False,22.560967,88.361251,Kolkata
CMP00243,6,273.0,54.6,2.0,False,84500,Loan App Fraud,23658.05,True,18.481336,73.843474,Pune
